Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Home shack,Hotspot,GB3GL Glasgow,GB3CS Motherwell,GB3PA Paisley,GB3DM Dumbarton,GB3WA Dalry,Ru PMR 5-13,UK Calling UHF,UK Calling VHF,VHF V30 / S15,VHF V32 / S16,VHF V34 / S17,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,VHF V46 / S23,DMR Simplex 1,DMR Simplex 2,DMR Simplex 3,DMR Simplex 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning walk,Hotspot,GB7GL Glasgow,GB3GL Glasgow,GB3CS Motherwell,GB3DM Dumbarton,GB3PA Paisley,Ru PMR 5-13,UK Calling VHF,VHF V16 / S08,VHF V18 / S09,VHF V20 / S10,VHF V22 / S11,VHF V24 / S12,VHF V26 / S13,VHF V28 / S14,VHF V30 / S15,VHF V32 / S16,VHF V34 / S17,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,DMR Simplex 1,DMR Simplex 2,DMR Simplex 3,DMR Simplex 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow,Hotspot,GB7GL Glasgow,GB3GL Glasgow,GB3CS Motherwell,GB3KE Glasgow,GB3KW Glasgow,GB3KV Kilsyth,GB7PA Paisley,GB3PA Paisley,GB3DM Dumbarton,GB3WA Dalry,Ru PMR 5-13,UK Calling UHF,UK Calling VHF,VHF V16 / S08,VHF V18 / S09,VHF V20 / S10,VHF V22 / S11,VHF V24 / S12,VHF V26 / S13,VHF V28 / S14,VHF V30 / S15,VHF V32 / S16,VHF V34 / S17,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,VHF V46 / S23,DMR Simplex 1,DMR Simplex 2,DMR Simplex 3,DMR Simplex 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow Ext,Hotspot,GB7GL Glasgow,GB3GL Glasgow,GB3CS Motherwell,MB7IKB East Kilb,GB3KE Glasgow,GB3KW Glasgow,MB6CY Clydebank,GB3KV Kilsyth,GB7PA Paisley,GB3PA Paisley,GB3DM Dumbarton,MB7IOH Houston,MB6HO Houston,MB7IDQ Alex'ria,MB7IBH Alex'ria,Ru PMR 5-13,UK Calling UHF,UK Calling VHF,VHF V16 / S08,VHF V18 / S09,VHF V20 / S10,VHF V22 / S11,VHF V24 / S12,VHF V26 / S13,VHF V28 / S14,VHF V30 / S15,VHF V32 / S16,VHF V34 / S17,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,VHF V46 / S23,DMR Simplex 1,DMR Simplex 2,DMR Simplex 3,DMR Simplex 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,Hotspot,GB7EE Edinburgh,GB3ED Edinburgh,GB7EU Edinburgh,GB7LV Broxburn,GB7CB Livingston,GB3OH L'gow FM,GB3OH L'gow DMR,GB7BG Bathgate,UK Calling VHF,UK Calling UHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,DMR Simplex 1,DMR Simplex 2,DMR Simplex 3,DMR Simplex 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,Hotspot,GB7FE Stirling,GB3FE Stirling,GB3OH L'gow FM,GB3OH L'gow DMR,GB3KV Kilsyth,GB7LL K'ross FM,GB7LL K'ross DMR,GB7DA Airdrie,GB7GG Airdrie,GB3PR Perth,UK Calling UHF,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Hotspot,GB7EM Aberdeen,GB7GD Aberdeen,GB3GN Banchory,UK Calling UHF,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Berwick,GB7DB Dunbar,GB7SM St Mon FM,GB7SM St.Monans,GB7GX P'pan FM,GB7GX P'pan DMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboyne,Hotspot,GB3AO Aboyne,MB7IOR Aboyne,GB3GN Banchory,GB3HL Leslie FM,GB3HL Leslie DMR,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMR,PMR446-1,PMR446-2,PMR446-3,PMR446-4,PMR446-5,PMR446-6,PMR446-7,PMR446-8,PMR446-9,PMR446-10,PMR446-11,PMR446-12,PMR446-13,PMR446-14,PMR446-15,PMR446-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth,GB3PR Perth,GB3PU Perth,GB7EF Ladyba. FM,GB7LL K'ross FM,GB7LL K'ross DMR,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee,GB3DD Dundee,GB7DM M'fieth FM,GB7DM M'feith DM,GB3AG Angus,GB7EF Ladyba. FM,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR/FRS,FIRE Gen Inciden,FIRE Repeaters/P,FIRE Breath Comm,FIRE Cmd Sppt,FIRE Fixed Rptr.,FIRE Breath func,FIRE Serv Def'd,FIRE Inc Def'd,FIRE Gen Inc-F,FIRE Repeaters-F,FIRE Breathing-F,FIRE Cmd Supp-F,FIRE Fix Rptr-F,FIRE Breath Fn-F,FIRE Srv Def-F,FIRE Inc Def-F,SAR Hailing-F,SARDA Analog,SAR MRC 623,SAR MRC 624,SAR DG1 General,SAR DG2 General,SAR DG3,SAR DG4,SARDA Digital,SAR SMR Rpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Ireland,GB3NI Belfast,GB3UL Belfast,GB3RK Belfast,GB3DX Derry,GB7UL C'fergus,GB3MT M'felt,GB7HI Lisburn,GB3LY Limavady,Ru PMR 5-13,UK Calling UHF,UK Calling VHF,VHF V36 / S18,VHF V38 / S19,VHF V40 / S20,VHF V42 / S21,VHF V44 / S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI-Scot ferry,GB7ZT Ball'trae,GB7RG Stranr'r-D,GB7RG Stran'r-F,GB3DG N. Stewart,GB7DG Ppatrick-F,GB7DG Ppatrick-D,GB7BR Ramsey IoM,GB3GD S'fell IoM,GB3RK Belfast,GB3MT M'felt,GB7UL C'fergus,GB3NI Belfast,GB3DX Derry,GB7HI Lisburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
